model,case_id,setting,validator_pass,expert_1_status,expert_1_D1_requirement_fidelity,expert_1_D2_architectural_grounding,expert_1_D3_formalization_adequacy,expert_1_D4_unsupported_content_control,expert_1_D5_reviewability,expert_1_score,expert_1_brief_reason,expert_1_error,expert_2_status,expert_2_D1_requirement_fidelity,expert_2_D2_architectural_grounding,expert_2_D3_formalization_adequacy,expert_2_D4_unsupported_content_control,expert_2_D5_reviewability,expert_2_score,expert_2_brief_reason,expert_2_error,avg_D1_requirement_fidelity,avg_D2_architectural_grounding,avg_D3_formalization_adequacy,avg_D4_unsupported_content_control,avg_D5_reviewability,combined_score,review_usable,strict_review_usable,end_to_end_usable,expert_disagreement
Codestral-2508,Case012,system_1,true,ok,1,2,1,2,4,1.6500,"The artifact is easy to inspect and attached to the right component, but it omits the required distance-triggered collision-avoidance guarantee, misuses `altitude` as a roll-rate assumption, and does not formalize that `outImpact` and `outRecovery` remain constant while active.",,ok,3,5,3,3,5,3.7000,The artifact partially captures the requirement by including initializations and roll rate assumptions but omits the core collision avoidance logic based on distance thresholds and does not specify how the component transitions into a collision avoidance state.,,2.0000,3.5000,2.0000,2.5000,4.5000,2.6750,false,false,false,true
Codestral-2508,Case013,system_1,true,ok,2,5,2,4,5,3.2500,"The artifact is clearly attached to GCAS_Monitor and uses valid ports, but it omits the required TCB collision-avoidance logic and roll-rate assumption while reducing the output requirement to unconditional zero-valued guarantees.",,ok,4,5,3,4,5,4.1500,"The artifact correctly captures the initialization requirements and most of the TCB logic, but omits the critical collision avoidance state transition condition and does not fully enforce the roll rate assumption, resulting in a partial but mostly faithful representation of the requirement.",,3.0000,5.0000,2.5000,4.0000,5.0000,3.7000,false,false,false,false
Codestral-2508,Case014,system_1,true,ok,3,5,2,2,4,3.3000,"The artifact is well placed on ACAS_Monitor and uses the right ports and constants, but it wrongly assumes distance <= 10.0 and replaces the required zero-to-8.0/5.0 transition behavior with unconditional constant outputs.",,ok,4,5,4,5,5,4.4500,"The artifact mostly captures the requirement with minor issues in temporal behavior modeling and a slight mismatch in the assumed condition, but is well-grounded, formalized, and reviewable.",,3.5000,5.0000,3.0000,3.5000,4.5000,3.8750,false,false,false,true
Codestral-2508,Case015,system_1,true,ok,2,5,2,2,5,3.0500,"The artifact is well scoped to ACAS_Monitor and its ports, but it incorrectly assumes `distance <= 10.0` and replaces the required 0.0-to-constant output transitions with unconditional equality to 8.0 and 5.0.",,ok,4,5,4,4,5,4.3500,"The artifact mostly captures the requirement with minor issues in temporal behavior and assumption usage, but is well-grounded, formally adequate, and highly reviewable.",,3.0000,5.0000,3.0000,3.0000,5.0000,3.7000,false,false,false,true
Codestral-2508,Case016,system_1,true,ok,2,4,2,2,4,2.7000,"The artifact is placed on the right component and uses the right ports, but it replaces the required service-count variable with a Boolean, invents unsupported decision encodings and a recovery-time threshold, and fails to gate dynamic versus static output on numberServicesTrue >= 2.",,ok,4,5,3,4,5,4.1500,"The artifact mostly captures the requirement but misses the 'numberServicesTrue' variable and does not correctly implement the fallback logic based on its value, and the dynamic decision conditions are simplified.",,3.0000,4.5000,2.5000,3.0000,4.5000,3.4250,false,false,false,true
Codestral-2508,Case017,system_1,false,ok,3,5,3,2,4,3.5000,"The artifact is well tied to Aviate_Decider and correctly counts active requests, but it invents a recovery sufficiency threshold and a default value of 0 instead of faithfully encoding the required secondary-collision and static-priority semantics.",,ok,4,5,4,5,5,4.4500,"The artifact largely captures the requirement with minor issues in the dynamicDecide logic and default value handling, but is well-grounded, formally adequate, and highly reviewable.",,3.5000,5.0000,3.5000,3.5000,4.5000,3.9750,false,false,false,false
Codestral-2508,Case018,system_1,true,ok,3,4,2,4,5,3.3500,"It clearly adds a GCAS_Recovery assumption/guarantee over existing outputs, but it omits the required timeRangeInitial/timeRangeFinal bounds and any modeling of the required gcasDynamics3 recursive computation.",,ok,4,5,4,4,5,4.3500,"The artifact captures the core requirement regarding altitude and recovery time but omits the explicit invocation of gcasDynamics3 and does not fully enforce the time range constraint, while being well-grounded and readable.",,3.5000,4.5000,3.0000,4.0000,5.0000,3.8500,false,false,false,false
Codestral-2508,Case019,system_1,true,ok,3,4,3,3,5,3.4500,"The annex clearly states a safety guarantee over existing GCAS_Recovery outputs, but it omits the required gcasDynamics3 recursive computation and replaces separate initial/final time assumptions with a single bound on outTime while also mapping initial speed to an output airspeed field.",,ok,4,5,4,5,5,4.4500,"The artifact correctly captures the core requirement with minor omissions in specifying the recursive computation and exact variable usage, but is well-grounded, formally adequate, and highly reviewable.",,3.5000,4.5000,3.5000,4.0000,5.0000,3.9500,false,false,false,true
Codestral-2508,Case020,system_1,true,ok,3,5,2,5,4,3.6000,"The artifact is well placed on `temperature_sensor` and captures the `dataout` bounds and intended equality to `k`, but it incorrectly formalizes the state update by referencing `k` instead of the previous-cycle value, so the core transition semantics are not faithfully expressed.",,ok,4,5,4,5,5,4.4500,"The artifact mostly captures the requirement with minor issues in the k update rule logic and a slight mismatch in the initial value definition, but is well-grounded, formally adequate, and highly reviewable.",,3.5000,5.0000,3.0000,5.0000,4.5000,4.0250,true,true,true,false
Codestral-2508,Case021,system_1,false,ok,2,3,2,5,4,2.7500,"The artifact correctly constrains dataout to [0,20] and sketches a k-update rule, but it omits k’s initialization and the required equality dataout = k, while also leaving k undeclared in scope.",,ok,4,5,4,4,5,4.3500,"The artifact mostly captures the requirement with minor issues in the update rule logic and lacks explicit initialization of the internal variable k, but is well-grounded in the AADL context and highly reviewable.",,3.0000,4.0000,3.0000,4.5000,4.5000,3.5500,false,false,false,true
Codestral-2508,Case022,system_1,false,ok,3,2,2,5,3,2.7500,"It captures the intended request logic and output conditions, but the required controller booleans are never actually defined, are used with unsuitable assumptions, and appear in a malformed/poorly scoped AGREE annex.",,ok,5,5,5,5,5,5.0000,"The generated AGREE artifact fully satisfies the requirement with accurate formalizations, proper architectural grounding, and clear, reviewable structure.",,4.0000,3.5000,3.5000,5.0000,4.0000,3.8750,false,false,false,true
Codestral-2508,Case023,system_1,true,ok,5,5,5,5,5,5.0000,The artifact cleanly formalizes the required heating/cooling request logic and output constraints using only controller-local logic and architecture-grounded fields from the given AADL model.,,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully captures the requirement with precise formalization, correct architectural grounding, no unsupported content, and clear structure.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,true,false
Codestral-2508,Case024,system_1,false,ok,4,2,3,2,4,3.1000,"The required temp_control.i routing and immediate timing are present, but the added AGREE guarantees use invalid temp_control-scope references and introduce unsupported behavior.",,ok,3,5,2,4,4,3.5000,The artifact partially captures the requirement by focusing on signal routing but fails to express the correct execution constraints and uses inadequate formalization for the timing requirements.,,3.5000,3.5000,2.5000,3.0000,4.0000,3.3000,false,false,false,false
Codestral-2508,Case025,system_1,true,ok,5,5,4,3,4,4.5000,"The artifact correctly preserves the required temp_control.i routing via c0 and c1 in the given architecture, but it also adds unrelated voter AGREE behavior not supported by the requirement.",,ok,5,5,5,5,5,5.0000,"The artifact fully satisfies the requirement with correct signal routing, proper architectural grounding, complete formalization, no unsupported content, and clear structure.",,5.0000,5.0000,4.5000,4.0000,4.5000,4.7500,true,true,true,false
Codestral-2508,Case026,system_1,false,ok,4,2,3,2,4,3.1000,"The implementation preserves the required c0/c1 routing and immediate timing on c0-c3, but the added AGREE annex introduces invalid-scope references and an unsupported tempout behavior not required by the specification.",,ok,4,5,4,5,5,4.4500,"The artifact mostly aligns with the requirement by capturing the data routing and timing constraints, though it omits explicit guarantees for c2 and c3 connections and uses high-level assumptions instead of detailed behavioral contracts.",,4.0000,3.5000,3.5000,3.5000,4.5000,3.7750,false,false,false,true
Codestral-2508,Case027,system_1,true,ok,2,3,2,2,4,2.4500,"The artifact captures `t`, `minHeightAllowed`, and `timeToRecovery`, but it fails the core requirement to compute `height` via `gcas_nodes::kinematicLinearization(t)` at the implementation level and instead invents a constant `height = 0.0`.",,ok,4,5,3,3,5,4.0500,"The artifact mostly captures the requirement but misses the invocation of the kinematicLinearization function and incorrectly defines height without using the function, and includes some unsupported assumptions about height's behavior.",,3.0000,4.0000,2.5000,2.5000,4.5000,3.2500,false,false,false,true
Codestral-2508,Case028,system_1,true,ok,2,2,2,2,4,2.2000,"The artifact captures `t` and `minHeightAllowed` but misses the required implementation-level function call and `timeToRecovery` assignment, and it incorrectly formalizes the guarantees over `altitude` instead of a computed `height` conditioned on time `t`.",,ok,3,4,2,2,4,3.0500,"The artifact partially captures the requirement but incorrectly models height computation, misuses the altitude port, and introduces unsupported logical conditions that do not align with the requirement's intent.",,2.5000,3.0000,2.0000,2.0000,4.0000,2.6250,false,false,false,false
Codestral-2508,Case029,system_1,true,ok,2,4,2,5,4,3.0000,"The artifact correctly introduces `t` and fixes `timeToRecovery` to 1.7, but it omits the required `circleLinearization`-based `distanceFromFence` computation and the key guarantee comparing current versus previous distance after recovery time.",,ok,3,5,2,3,4,3.4000,"The artifact partially captures the requirement but omits key behavioral guarantees and the function call to circleLinearization, while correctly grounding in the AADL context and being mostly reviewable.",,2.5000,4.5000,2.0000,4.0000,4.0000,3.2000,false,false,false,false
Codestral-2508,Case030,system_1,true,ok,2,4,2,5,5,3.1000,"The artifact cleanly defines the recursive time variable and assigns timeToRecovery, but it omits the required circleLinearization-based distanceFromFence computation and the key recovery-time guarantee.",,ok,3,5,2,4,5,3.6000,The artifact partially captures the requirement but omits the critical guarantee about distanceFromFence behavior during recovery and does not invoke the circleLinearization function as specified.,,2.5000,4.5000,2.0000,4.5000,5.0000,3.3500,false,false,false,false
Codestral-2508,Case031,system_1,true,ok,5,5,4,4,4,4.6000,"The artifact preserves the exact TCAS.impl routing and immediate timing required by the architecture, but the added AGREE assumptions are tautological and do not meaningfully formalize the routing.",,ok,3,5,2,4,4,3.5000,"The artifact partially captures the routing and timing requirements but uses incorrect formalization with self-equaling assumptions instead of proper signal flow modeling, and omits key connection timing constraints.",,4.0000,5.0000,3.0000,4.0000,4.0000,4.0500,true,true,true,true
Codestral-2508,Case032,system_1,false,ok,4,4,3,5,4,3.9000,"The artifact captures the intended altitude-difference and projection relations on the correct component and ports, but the AGREE encoding leaves intruderVerticalVelocity undeclared and uses pre(...) without initial-step handling.",,ok,5,5,5,5,5,5.0000,"The artifact fully satisfies the requirement by correctly defining intruderVerticalVelocity and projecting future altitude using linear kinematics, with all elements properly grounded in the AADL architecture and expressed in a clear, reviewable manner.",,4.5000,4.5000,4.0000,5.0000,4.5000,4.4500,true,true,false,true
Codestral-2508,Case033,system_1,false,ok,4,5,4,4,5,4.3500,"The guarantee is well scoped to TrajectoryExtrapolation and captures the required projected-altitude computation, but it introduces an unsupported initial previous-altitude value of 0.0 rather than leaving the first-step behavior explicit.",,ok,4,5,4,5,5,4.4500,"The artifact correctly implements the vertical velocity calculation and projection logic with minor wording issues in the AGREE guarantee, and is fully grounded in the AADL architecture with clear, reviewable structure.",,4.0000,5.0000,4.0000,4.5000,5.0000,4.4000,true,true,false,false
Codestral-2508,Case034,system_1,true,ok,2,5,2,2,5,3.0500,"The artifact is well placed and uses the right ports, but although it encodes the main altitude/longitude cases, it adds unsupported nonnegativity assumptions and a contradictory output-range guarantee that excludes the required -50 command.",,ok,5,5,5,5,5,5.0000,"The artifact fully satisfies the requirement with precise formalization, correct architectural grounding, and clear, reviewable structure.",,3.5000,5.0000,3.5000,3.5000,5.0000,4.0250,true,true,true,true
Codestral-2508,Case035,system_1,false,ok,2,4,2,2,5,2.8000,"The artifact correctly constrains Target_Speed and references the right ports, but it omits the required const_tar_speed state entirely and incorrectly makes both guarantees unconditional rather than applying only when const_tar_speed is true.",,ok,4,5,4,5,5,4.4500,"The artifact mostly captures the requirement but omits the const_tar_speed attribute and its logical state, which is a key part of the requirement's specification.",,3.0000,4.5000,3.0000,3.5000,5.0000,3.6250,false,false,false,true
Codestral-2508,Case036,system_1,false,ok,3,5,2,2,5,3.4000,"It correctly uses the Car ports and captures the input-range and acceleration constraints, but it omits the required const_tar_speed definition and wrongly makes the Actual_Speed <= Target_Speed guarantee unconditional instead of contingent on const_tar_speed.",,ok,4,5,4,5,5,4.4500,"The artifact mostly captures the requirement but omits the const_tar_speed attribute and its logical relationship to the speed limit guarantee, which is a key part of the requirement.",,3.5000,5.0000,3.0000,3.5000,5.0000,3.9250,false,false,false,true
Codestral-2508,Case037,system_1,false,ok,3,5,3,2,5,3.6000,"The artifact is well scoped to Speed_Control and correctly defines the gains and output law, but it fails to formalize the required integral and derivative computations by replacing them with unsupported constant-zero definitions.",,ok,4,5,3,5,5,4.2500,"The artifact mostly captures the requirement but omits the time-integration and time-derivative calculations, instead using fixed zero values for e_int and e_dot, which weakens the formalization of the PID control logic.",,3.5000,5.0000,3.0000,3.5000,5.0000,3.9250,false,false,false,false
Codestral-2508,Case038,system_1,false,ok,3,3,2,2,4,2.8000,"The artifact captures the gains, error definition, and output equality shape, but it incorrectly fixes the integral and derivative terms to zero and places the guarantee on the component type rather than clearly enforcing it at the implementation layer.",,ok,4,5,3,4,5,4.1500,"The artifact correctly captures PID gains and the control law formula using grounded AADL ports, but fails to formally model the integral and derivative terms as time-dependent operations, reducing formal adequacy.",,3.5000,4.0000,2.5000,3.0000,4.5000,3.4750,false,false,false,true
Codestral-2508,Case039,system_1,false,ok,3,4,3,5,5,3.6500,"The artifact is clear and uses valid Throttle ports, but it only partially matches the requirement because it formalizes the current Actual output from the previous Actual output rather than the previous value of a distinct Actual input, and it leaves the temporal initialization/implementation nuance implicit.",,ok,4,5,5,5,5,4.6500,"The artifact correctly captures the core numerical relationship specified in the requirement and is well-grounded in the AADL context, though minor wording differences prevent a perfect score.",,3.5000,4.5000,4.0000,5.0000,5.0000,4.1500,true,true,false,true
Codestral-2508,Case040,system_1,false,ok,4,3,4,4,4,3.7500,"The implementation correctly includes the required SMToSSM routing and immediate timing, but the added AGREE guarantee is placed on the component type and references SSM out of scope.",,ok,4,5,5,5,5,4.6500,"The artifact mostly captures the requirement with accurate formalization and grounding, though the signal flow guarantee could be more explicitly tied to the routing and timing constraints specified.",,4.0000,4.0000,4.5000,4.5000,4.5000,4.2000,true,true,false,false
Codestral-2508,Case041,system_1,true,ok,5,5,5,5,5,5.0000,"The artifact cleanly adds an AGREE guarantee on Output_Processing that exactly states heating_element_on is logically equivalent to cooking_mode being 2, using only valid ports from the given architecture.",,ok,5,5,5,5,5,5.0000,"The generated AGREE specification fully and accurately captures the requirement's logical equivalence between the heating_element_on output and the cooking_mode input being equal to 2, is well-grounded in the AADL architecture, uses appropriate formal constructs, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,true,false
Codestral-2508,Case042,system_1,true,ok,5,5,4,3,4,4.5000,"The implementation exactly preserves the required routing and immediate timing in Microwave_Control.Impl, but the added AGREE assumptions are tautological, misplaced, and not required by the stated requirement.",,ok,4,5,4,5,5,4.4500,"The artifact mostly aligns with the requirement, correctly models the specified signal routing and timing constraints, and is well-grounded in the AADL context, though it could better express the data flow semantics in the AGREE annex.",,4.5000,5.0000,4.0000,4.0000,4.5000,4.4750,true,true,true,false
Codestral-2508,Case043,system_1,false,ok,5,5,5,5,5,5.0000,The artifact cleanly places the exact assumption and guarantee on component A using the correct ports and no extra behavior.,,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately captures the requirement's environmental assumptions and guarantees, is well-grounded in the AADL architecture, uses appropriate formalization, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case044,system_1,false,ok,5,5,5,5,5,5.0000,The artifact places the assumption and guarantee on component B using the correct ports and faithfully formalizes Input < 20 and Output < Input + 15 with no unsupported additions.,,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately captures the environmental assumption and guarantee specified in the requirement, is well-grounded in the AADL architecture, uses appropriate formalization, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case045,system_1,true,ok,2,5,2,2,5,3.0500,"The artifact is well scoped to component C and easy to read, but it incorrectly fixes mode to 0, mishandles the initial/stateful monotonic requirement, and only partially captures the intended output iff behavior.",,ok,5,5,5,5,5,5.0000,"The artifact fully captures the requirement's state evolution and output behavior, correctly grounds all elements in the AADL context, and expresses all conditions with precise AGREE formalization without introducing unsupported content.",,3.5000,5.0000,3.5000,3.5000,5.0000,4.0250,true,true,true,true
Codestral-2508,Case046,system_1,true,ok,3,5,2,5,5,3.7000,"The artifact correctly captures the stated port connections and the Input/Output bounds, but it omits the required top-level state variable `mode`, its nonnegativity guarantee, and the assignment from `C_sub.mode` to `top_level.mode`.",,ok,3,5,3,5,5,3.9000,"The artifact correctly captures the architectural connections and input/output bounds but fails to model the internal state variable 'mode' and its assignment from C_sub to top_level, which is a core requirement.",,3.0000,5.0000,2.5000,5.0000,5.0000,3.8000,false,false,false,false
Codestral-2508,Case047,system_1,false,ok,5,5,5,5,5,5.0000,The artifact cleanly attaches to system A and exactly formalizes the stated assumption Input < 20 and guarantee Output < 2 * Input using only architecture-grounded ports.,,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately captures the requirement's environmental assumption and guarantee, is well-grounded in the AADL architecture, uses appropriate formal constructs, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case048,system_1,false,ok,5,5,5,5,5,5.0000,"The artifact cleanly places the exact assumption and guarantee on Component A using its real Input and Output ports, with no added behavior or architectural mismatch.",,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately captures the requirement's environmental assumption and system guarantee, is well-grounded in the AADL architecture, uses appropriate formal constructs, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case049,system_1,false,ok,5,5,5,5,5,5.0000,"The artifact places the assumption and guarantee directly on component B using the correct ports and exact inequalities from the requirement, with no extra behavior added.",,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately reflects the requirement, is well-grounded in the AADL architecture, uses appropriate formalization, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case050,system_1,false,ok,5,5,5,5,5,5.0000,"The artifact places exactly the stated assumption and guarantee on component B using the correct ports and no extra behavior, making it faithful, grounded, and easy to review.",,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately reflects the requirement's environmental assumptions and guarantees, is well-grounded in the AADL architecture, uses appropriate formal constructs, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case051,system_1,false,ok,5,5,5,5,5,5.0000,The artifact places a clear AGREE guarantee on component C that exactly matches the requirement using the correct ports and no extra behavior.,,ok,5,5,5,5,5,5.0000,"The AGREE guarantee correctly and precisely formalizes the requirement that Output = Input1 + Input2, using exact port names and types from the AADL context without additions or distortions.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case052,system_1,false,ok,5,5,5,5,5,5.0000,"The artifact adds a precise AGREE guarantee on component C stating Output = Input1 + Input2, using the correct architectural scope and no unsupported extra behavior.",,ok,5,5,5,5,5,5.0000,"The generated AGREE artifact fully and accurately captures the requirement that C's output equals the sum of its two inputs, is well-grounded in the AADL architecture, uses appropriate formalization, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case053,system_1,true,ok,5,5,5,5,5,5.0000,The artifact directly and correctly attaches the required AGREE assumption Input < 10 and guarantee Output < 50 to the grounded top_level component without adding unsupported behavior.,,ok,5,5,5,5,5,5.0000,"The artifact correctly associates the environment assumption (Input < 10) and guarantee (Output < 50) with the top_level system, using exact port names and thresholds from the requirement, and is precisely grounded in the provided AADL architecture without additions or distortions.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,true,false
Codestral-2508,Case054,system_1,false,ok,2,3,2,2,4,2.4500,"The artifact uses valid AADL elements and clear AGREE syntax, but it incorrectly places the assume/guarantee on component C and substitutes C.Input1/Output for the requirement’s top-level Refuel_singleton Input/timeToRecovery behavior.",,ok,4,5,5,5,5,4.6500,"The artifact correctly captures the input constraint and output guarantee for the C component, with minor wording issues in the assume/guarantee labels, and is fully grounded in the AADL architecture.",,3.0000,4.0000,3.5000,3.5000,4.5000,3.5500,false,false,false,true
Codestral-2508,Case055,system_1,false,ok,5,5,5,5,5,5.0000,The artifact directly formalizes the stated assumption and guarantee on the correct above_top Input and Output ports without adding unsupported behavior.,,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately reflects the requirement by correctly specifying that the input to 'above_top' must be strictly less than 10 and the output must be strictly less than 55, with clear grounding in the AADL architecture and fully reviewable structure.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,false,false
Codestral-2508,Case056,system_1,true,ok,5,5,5,5,5,5.0000,"The artifact places the exact required assumption and guarantee on component B using the correct ports and inequalities, with no extra behavior and clear reviewable structure.",,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately captures the requirement's environmental assumptions and guarantees, is well-grounded in the AADL architecture, uses appropriate formal constructs, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,true,false
